"""run_id""","""kingdom""","""phylum""","""class""","""orders""","""family""","""genus""","""species"""
"""ERR1072624""","""bacteria""","""proteobacteria""","""gammaproteobacteria""","""pseudomonadales""","""pseudomonadaceae""","""pseudomonas""","""fragi"""
"""ERR1072625""","""bacteria""","""proteobacteria""","""gammaproteobacteria""","""enterobacteriales""","""enterobacteriaceae""",,
"""ERR1072626""","""bacteria""","""bacteroidetes""","""bacteroidia""","""bacteroidales""","""bacteroidaceae""","""bacteroides""",
"""ERR1072627""","""bacteria""","""bacteroidetes""","""bacteroidia""","""bacteroidales""","""bacteroidaceae""","""bacteroides""","""fragilis"""
"""ERR1072628""","""bacteria""","""bacteroidetes""","""bacteroidia""","""bacteroidales""","""bacteroidaceae""","""bacteroides""","""uniformis"""
"""ERR1072629""","""bacteria""","""proteobacteria""","""gammaproteobacteria""","""pseudomonadales""","""pseudomonadaceae""","""pseudomonas""","""fragi"""
"""ERR1072630""","""bacteria""","""bacteroidetes""","""bacteroidia""","""bacteroidales""","""bacteroidaceae""","""bacteroides""","""ovatus"""
"""ERR1072631""","""bacteria""","""firmicutes""","""erysipelotrichi""","""erysipelotrichales""","""erysipelotrichaceae""",,
"""ERR1072632""","""bacteria""","""bacteroidetes""","""bacteroidia""","""bacteroidales""","""bacteroidaceae""","""bacteroides""",
"""ERR1072633""","""bacteria""","""bacteroidetes""","""bacteroidia""","""bacteroidales""","""porphyromonadaceae""","""parabacteroides""",
"""ERR1072634""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""veillonellaceae""","""phascolarctobacterium""",
"""ERR1072635""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""ruminococcaceae""","""faecalibacterium""","""prausnitzii"""
"""ERR1072636""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""ruminococcaceae""",,
"""ERR1072637""","""bacteria""","""bacteroidetes""","""bacteroidia""","""bacteroidales""","""bacteroidaceae""","""bacteroides""",
"""ERR1072638""","""bacteria""","""bacteroidetes""","""bacteroidia""","""bacteroidales""","""bacteroidaceae""","""bacteroides""",
"""ERR1072639""","""bacteria""","""bacteroidetes""","""bacteroidia""","""bacteroidales""","""bacteroidaceae""","""bacteroides""",
"""ERR1072640""","""bacteria""","""proteobacteria""","""deltaproteobacteria""","""desulfovibrionales""","""desulfovibrionaceae""","""bilophila""",
"""ERR1072641""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""ruminococcaceae""",,
"""ERR1072642""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""ruminococcaceae""",,
